"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"131",0,1,15,1,1,0,3,4,"services","teacher","course","father",2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,12,0,0
"132",0,1,15,0,1,0,1,1,"at_home","other","course","mother",3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0,8,0,0
"133",0,1,17,0,0,0,2,2,"other","other","course","father",1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,10,13,12
"134",0,1,16,0,1,1,3,4,"services","other","course","father",1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,12,11,11
"135",0,0,15,1,1,0,3,4,"at_home","teacher","course","mother",4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0,9,0,0
"136",0,1,15,0,1,0,4,4,"services","at_home","course","mother",1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0,11,0,0
"137",0,0,17,1,1,0,3,4,"at_home","other","course","mother",3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,10,0,0
"138",0,1,16,0,1,1,3,3,"other","other","course","other",2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,4,0,0
"139",0,0,16,0,0,0,1,1,"services","other","course","mother",1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,14,12,12
"140",0,1,15,0,1,0,4,4,"teacher","teacher","course","mother",2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,16,16,15
"141",0,0,15,0,1,0,4,3,"teacher","services","course","father",2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0,7,9,0
"142",0,0,16,0,0,0,2,2,"services","services","reputation","father",2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8,9,9,9
"143",0,1,15,0,1,0,4,4,"teacher","services","course","mother",1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,9,11,11
"144",0,1,16,0,0,0,1,1,"at_home","at_home","course","mother",1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,14,14,13
"145",0,0,17,0,1,0,2,1,"other","other","home","mother",1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,5,0,0
"146",0,1,15,0,1,0,1,1,"other","services","course","father",1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,8,11,11
"147",0,1,15,0,1,0,3,2,"health","services","home","father",1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,6,7,0
"148",0,1,15,0,1,0,1,2,"at_home","other","course","mother",1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,10,11,11
"149",0,0,16,0,1,0,4,4,"teacher","teacher","course","mother",1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,7,6,0
"150",0,0,15,0,0,1,2,1,"services","other","course","mother",4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,8,9,10
"151",0,0,18,0,0,0,1,1,"other","other","course","mother",1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,6,5,0
"152",0,0,16,0,0,0,2,1,"at_home","other","course","mother",1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,12,13,14
"153",0,1,15,1,1,0,3,3,"services","services","reputation","other",2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,10,10,10
"154",0,0,19,0,1,0,3,2,"services","at_home","home","mother",1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0,5,0,0
"155",0,1,17,0,1,0,4,4,"other","teacher","course","mother",1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,11,11,12
"156",0,0,15,1,1,0,2,3,"at_home","services","course","mother",1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,11,8,8
"157",0,0,17,1,0,0,1,2,"other","other","reputation","mother",1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,16,12,13
"158",0,1,18,1,1,0,1,1,"at_home","other","course","mother",3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,9,8,10
"159",0,0,16,1,1,0,2,2,"at_home","other","course","mother",3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2,17,15,15
"160",0,0,16,0,1,0,3,3,"other","services","course","father",1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,10,12,12
"161",0,0,17,1,0,0,2,1,"at_home","other","course","mother",2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0,7,6,0
"162",0,0,15,1,1,0,3,2,"other","other","course","mother",2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,5,9,7
"163",0,0,16,0,0,0,1,2,"other","other","course","mother",2,1,1,0,0,0,1,1,1,0,0,4,4,4,2,4,5,0,7,0,0
"164",0,0,17,0,1,0,1,3,"at_home","services","course","father",1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,10,10,10
"165",0,0,17,1,0,0,1,1,"other","services","course","mother",4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,5,8,7
"166",0,0,16,0,1,0,3,2,"services","services","course","mother",2,1,1,0,1,0,1,0,0,0,0,4,5,2,1,1,2,16,12,11,12
"167",0,0,16,0,1,0,2,2,"other","other","course","father",1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4,10,10,10
"168",0,1,16,0,1,0,4,2,"health","services","home","father",1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,14,15,16
"169",0,1,16,0,1,0,2,2,"other","other","home","mother",1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0,6,7,0
"170",0,1,16,0,1,0,4,4,"health","health","reputation","mother",1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,14,14,14
"171",0,0,16,0,1,0,3,4,"other","other","course","father",3,1,2,0,1,0,1,0,1,1,0,3,4,5,2,4,2,0,6,5,0
"172",0,0,16,0,1,0,1,0,"other","other","reputation","mother",2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,13,15,16
"173",0,0,17,0,0,0,4,4,"teacher","other","reputation","mother",1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,13,11,10
"174",0,1,16,0,1,0,1,3,"at_home","services","home","mother",1,2,3,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0,8,7,0
"175",0,1,16,0,0,0,3,3,"other","other","reputation","mother",2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4,10,11,9
"176",0,0,17,0,0,0,4,3,"teacher","other","course","mother",2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,10,9,9
"177",0,1,16,0,1,0,2,2,"services","other","reputation","mother",2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2,13,13,11
"178",0,0,17,0,1,0,3,3,"other","other","reputation","father",1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,6,5,6
"179",0,0,16,1,1,0,4,2,"teacher","services","other","mother",1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10,10,8,9
"180",0,0,17,0,1,0,4,3,"other","other","course","mother",1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4,10,10,11
"181",0,0,16,0,1,0,4,3,"teacher","other","home","mother",1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10,9,8,8
"182",0,0,16,0,1,0,3,3,"services","other","home","mother",1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,3,2,12,13,12
"183",0,1,17,0,1,0,2,4,"services","services","reputation","father",1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0,16,17,17
"184",0,1,17,0,0,0,3,3,"other","other","reputation","mother",1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56,9,9,8
"185",0,1,16,0,1,0,3,2,"other","other","reputation","mother",1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14,12,13,12
"186",0,0,17,0,1,0,3,3,"services","services","other","mother",1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12,12,12,11
"187",0,0,16,0,1,0,1,2,"services","services","other","mother",1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2,11,12,11
"188",0,0,16,0,0,0,2,1,"other","other","course","mother",1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,5,0,15,15,15
"189",0,1,17,0,1,1,3,3,"health","other","reputation","mother",1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6,8,7,9
"190",0,0,17,1,1,0,1,2,"at_home","other","home","mother",1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4,8,9,10
"191",0,1,16,0,1,0,2,3,"services","services","course","mother",1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10,11,12,13
"192",0,1,17,0,1,0,1,1,"at_home","services","course","mother",1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,8,8,9
"193",0,0,17,0,1,0,1,2,"at_home","services","other","other",2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12,7,8,8
"194",0,0,16,1,1,0,3,3,"services","services","reputation","mother",1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8,8,9,10
"195",0,0,16,0,1,0,2,3,"other","other","home","father",2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0,13,14,14
"196",0,1,17,0,0,0,2,4,"services","services","course","father",1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,0,14,15,15
"197",0,0,17,0,1,0,4,4,"services","teacher","home","mother",1,1,0,0,0,0,0,1,1,1,0,5,2,3,1,2,5,4,17,15,16
"198",0,0,16,1,0,0,3,3,"teacher","other","home","father",3,1,0,0,1,1,1,1,1,1,0,3,3,4,3,5,3,8,9,9,10
"199",0,1,17,0,1,0,4,4,"services","teacher","home","mother",2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,24,18,18,18
"200",0,1,16,0,0,0,4,4,"teacher","teacher","reputation","mother",1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0,9,9,10
"201",0,1,16,0,1,0,4,3,"health","other","home","mother",1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2,16,16,16
"202",0,1,16,0,1,0,2,3,"other","other","reputation","mother",1,2,0,1,1,1,1,1,1,0,0,4,4,3,1,3,4,6,8,10,10
"203",0,1,17,0,1,0,1,1,"other","other","course","mother",1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4,9,9,10
"204",0,1,17,1,1,0,2,2,"other","other","reputation","mother",1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18,7,6,6
"205",0,1,16,1,1,0,2,2,"services","services","reputation","mother",2,4,0,0,1,1,1,0,1,1,0,5,3,5,1,1,5,6,10,10,11
"206",0,1,17,0,1,0,3,4,"at_home","services","home","mother",1,3,1,0,1,1,0,1,1,1,1,4,4,3,3,4,5,28,10,9,9
"207",0,1,16,0,1,1,3,1,"services","other","course","mother",1,2,3,0,1,1,0,1,1,1,0,2,3,3,2,2,4,5,7,7,7
"208",0,1,16,0,1,0,4,3,"teacher","other","other","mother",1,2,0,0,0,1,1,1,1,1,1,1,3,2,1,1,1,10,11,12,13
"209",0,1,16,0,1,0,1,1,"at_home","other","home","mother",2,1,0,0,1,1,0,1,1,0,0,4,3,2,1,4,5,6,9,9,10
"210",0,1,17,1,1,0,4,3,"teacher","other","reputation","mother",2,3,0,0,1,1,1,1,1,1,1,4,4,2,1,1,4,6,7,7,7
"211",0,1,19,0,1,0,3,3,"other","other","reputation","other",1,4,0,0,1,1,1,1,1,1,0,4,3,3,1,2,3,10,8,8,8
"212",0,0,17,0,0,0,4,4,"services","other","home","mother",1,2,0,0,1,1,0,1,1,1,1,5,3,5,4,5,3,13,12,12,13
"213",0,1,16,0,1,1,2,2,"other","other","reputation","mother",1,2,0,1,1,1,0,1,1,1,0,3,3,4,1,1,4,0,12,13,14
"214",0,0,18,0,1,0,2,2,"services","other","home","mother",1,2,1,0,1,1,1,1,1,1,0,4,4,4,2,4,5,15,6,7,8
"215",0,1,17,1,0,0,4,4,"services","other","other","mother",1,1,0,0,1,1,0,1,1,0,0,5,2,1,1,2,3,12,8,10,10
"216",0,1,17,0,0,0,3,2,"other","other","reputation","mother",2,2,0,0,0,1,0,1,1,1,0,4,4,4,1,3,1,2,14,15,15
"217",0,1,17,0,1,0,4,3,"other","other","reputation","mother",1,2,2,0,0,1,0,1,1,1,1,3,4,5,2,4,1,22,6,6,4
"218",0,0,18,0,0,0,3,3,"services","health","home","father",1,2,1,0,1,1,0,1,1,1,0,3,2,4,2,4,4,13,6,6,8
"219",0,1,17,0,1,0,2,3,"at_home","other","home","father",2,1,0,0,1,1,0,1,1,0,0,3,3,3,1,4,3,3,7,7,8
"220",0,1,17,0,1,0,2,2,"at_home","at_home","course","mother",1,3,0,0,1,1,1,1,1,1,0,4,3,3,1,1,4,4,9,10,10
"221",0,1,17,1,1,0,2,1,"at_home","services","reputation","mother",2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,2,6,6,6
"222",0,1,17,0,1,0,1,1,"at_home","other","reputation","mother",1,3,1,0,1,0,1,1,1,0,1,4,3,4,1,1,5,0,6,5,0
"223",0,1,16,0,1,0,2,3,"services","teacher","other","mother",1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,2,16,16,17
"224",0,0,18,0,1,0,2,2,"other","other","home","mother",2,2,0,0,1,1,0,1,1,1,0,3,3,3,5,5,4,0,12,13,13
"225",0,1,16,0,1,0,4,4,"teacher","services","home","mother",1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,0,13,13,14
"226",0,1,18,1,1,0,3,1,"other","other","reputation","mother",1,2,1,0,0,0,1,1,1,1,1,5,3,3,1,1,4,16,9,8,7
"227",0,1,17,0,1,0,3,2,"other","other","course","mother",1,2,0,0,0,0,1,0,1,1,0,5,3,4,1,3,3,10,16,15,15
"228",0,0,17,0,0,0,2,3,"services","services","reputation","father",1,2,0,0,1,1,0,0,1,1,0,5,3,3,1,3,3,2,12,11,12
"229",0,0,18,0,0,0,2,1,"at_home","other","course","mother",4,2,0,1,1,1,1,1,1,1,1,4,3,2,4,5,3,14,10,8,9
"230",0,1,17,0,1,1,2,1,"other","other","course","mother",2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,10,12,10,12
"231",0,1,17,0,0,0,4,3,"health","other","reputation","father",1,2,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,14,13,13,14
"232",0,0,17,1,1,0,2,2,"other","other","course","father",2,2,0,0,1,1,1,1,1,1,0,4,5,2,1,1,1,4,11,11,11
"233",0,0,17,0,1,0,4,4,"teacher","teacher","reputation","mother",1,2,0,1,1,0,1,1,1,1,1,4,5,5,1,3,2,14,11,9,9
"234",0,0,16,0,1,0,4,4,"health","other","reputation","father",1,2,0,0,1,1,1,1,1,1,0,4,2,4,2,4,1,2,14,13,13
"235",0,0,16,0,0,0,1,1,"other","other","home","mother",2,2,0,0,1,1,0,1,1,1,0,3,4,2,1,1,5,18,9,7,6
"236",0,0,16,0,1,0,3,2,"at_home","other","reputation","mother",2,3,0,0,0,0,1,1,1,1,1,5,3,3,1,3,2,10,11,9,10
"237",0,0,17,0,0,0,2,2,"other","other","home","father",1,2,0,0,0,1,1,0,1,1,1,4,4,2,5,5,4,4,14,13,13
"238",0,1,16,0,1,0,2,1,"other","other","home","mother",1,1,0,0,0,0,0,1,1,1,1,4,5,2,1,1,5,20,13,12,12
"239",0,1,17,1,1,0,2,1,"at_home","services","course","mother",3,2,0,0,0,0,1,1,1,0,0,2,1,1,1,1,3,2,13,11,11
"240",0,0,18,0,1,0,2,2,"other","services","reputation","father",1,2,1,0,0,0,0,1,0,1,0,5,5,4,3,5,2,0,7,7,0
"241",0,0,17,0,0,0,4,3,"health","other","course","mother",2,2,0,0,0,0,1,1,1,1,1,2,5,5,1,4,5,14,12,12,12
"242",0,0,17,1,0,1,4,4,"teacher","other","course","mother",2,2,0,0,1,1,0,1,1,1,0,3,3,3,2,3,4,2,10,11,12
"243",0,0,16,0,0,0,4,3,"teacher","other","course","mother",1,1,0,0,0,0,1,0,1,1,0,5,4,5,1,1,3,0,6,0,0
"244",0,0,16,0,1,0,4,4,"services","services","course","mother",1,1,0,0,0,0,1,1,1,1,0,5,3,2,1,2,5,0,13,12,12
"245",0,1,18,0,1,0,2,1,"other","other","course","other",2,3,0,0,1,1,0,0,1,1,1,4,4,4,1,1,3,0,7,0,0
"246",0,0,16,0,1,0,2,1,"other","other","course","mother",3,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,4,6,18,18,18
"247",0,0,17,0,1,0,2,3,"other","other","course","father",2,1,0,0,0,0,0,1,1,1,0,5,2,2,1,1,2,4,12,12,13
"248",0,0,22,0,1,0,3,1,"services","services","other","mother",1,1,3,0,0,0,0,0,0,1,1,5,4,5,5,5,1,16,6,8,8
"249",0,0,18,1,0,0,3,3,"other","services","course","mother",1,2,1,0,1,0,0,1,1,1,1,4,3,3,1,3,5,8,3,5,5
"250",0,0,16,0,1,0,0,2,"other","other","other","mother",1,1,0,0,0,1,0,0,1,1,0,4,3,2,2,4,5,0,13,15,15
"251",0,0,18,0,1,0,3,2,"services","other","course","mother",2,1,1,0,0,0,0,1,0,1,0,4,4,5,2,4,5,0,6,8,8
"252",0,0,16,0,1,0,3,3,"at_home","other","reputation","other",3,2,0,1,1,0,0,0,1,1,0,5,3,3,1,3,2,6,7,10,10
"253",0,0,18,0,1,0,2,1,"services","services","other","mother",1,1,1,0,0,0,0,0,0,1,0,3,2,5,2,5,5,4,6,9,8
"254",0,0,16,1,1,0,2,1,"other","other","course","mother",2,1,0,0,0,0,1,0,1,0,0,3,3,2,1,3,3,0,8,9,8
"255",0,0,17,1,1,0,2,1,"other","other","course","mother",1,1,0,0,0,0,0,0,1,1,0,4,4,2,2,4,5,0,8,12,12
"256",0,0,17,0,0,0,1,1,"health","other","course","mother",2,1,1,0,1,0,1,1,1,1,0,4,4,4,1,2,5,2,7,9,8
"257",0,1,17,0,0,0,4,2,"teacher","services","reputation","mother",1,4,0,0,1,1,1,1,1,1,0,4,2,3,1,1,4,6,14,12,13
"258",0,0,19,0,0,1,4,3,"services","at_home","reputation","mother",1,2,0,0,1,0,0,1,1,1,0,4,3,1,1,1,1,12,11,11,11
"259",0,0,18,0,1,0,2,1,"other","other","home","mother",1,2,0,0,0,0,1,1,1,1,0,5,2,4,1,2,4,8,15,14,14
"260",0,1,17,0,0,0,2,2,"services","services","course","father",1,4,0,0,0,1,1,1,1,1,1,3,4,1,1,1,2,0,10,9,0
"261",0,1,18,0,1,0,4,3,"services","other","home","father",1,2,0,0,1,1,0,1,1,1,1,3,1,2,1,3,2,21,17,18,18
"262",0,0,18,0,1,0,4,3,"teacher","other","course","mother",1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,3,2,8,8,8
